radius,F_x,F_y,delta_x,theta_z
4.2,137.37912,37.143737,0,0
6.947073523,151.28822,68.070874,0.001783701,0.000151882
11.07046492,276.82816,26.334948,0.011142997,-9.58009E-05
14.71430593,709.95437,-300.04355,0.027551333,0.023951896
18.35693498,1599.7666,-811.72442,0.05262102,0.038757025
21.99761473,2015.1858,-982.58298,0.090324823,0.006234047
25.63654629,2904.5275,-1198.0614,0.1429408,-0.051218234
29.27423161,3298.7171,-1224.3776,0.21301351,-0.12582066
32.9111296,3792.4069,-1254.2194,0.30141021,-0.17205401
36.54732468,4287.6092,-1270.9436,0.40940067,-0.2017331
40.18325143,4728.7876,-1273.3082,0.53918911,-0.24139755
43.81902187,5149.8276,-1269.0447,0.6911338,-0.29234867
47.45476221,5357.6744,-1265.6686,0.86618803,-0.35216279
51.09054818,5766.0364,-1256.9291,1.064883,-0.42214895
54.72644113,6165.359,-1246.3872,1.288217,-0.50380514
58.36245431,6555.0827,-1234.7559,1.5372499,-0.59458936
61.99866749,6758.7458,-1229.856,1.8136892,-0.69883896
65.63508068,7167.0876,-1220.6305,2.1192103,-0.81408172
69.27179875,7570.6407,-1211.7042,2.4564856,-0.94696503
72.90883877,7769.4895,-1207.308,2.8282399,-1.0972633
76.77370133,8127.7316,-1195.63,3.2662274,-1.3267337
80.63915545,8461.9992,-1182.7279,3.7514561,-1.5866985
84.50541553,8764.9139,-1168.1155,4.2881562,-1.8748351
88.37262701,9037.573,-1152.0128,4.8813029,-2.1830549
92.24106796,9163.3777,-1143.4751,5.5354764,-2.5020137
96.11099413,9390.9136,-1125.204,6.2553841,-2.8325329
99.98276479,9589.4837,-1105.6629,7.0445885,-3.1648232
103.8567777,9762.0844,-1085.1795,7.9059261,-3.49211
107.7335049,9909.8276,-1063.9325,8.8409885,-3.8082885
111.613513,10037.731,-1042.4177,9.8491954,-4.1001806
115.4974356,10140.253,-1020.3049,10.929977,-4.3633606
119.3860239,10227.285,-984.66807,12.080792,-4.5914004
123.280125,10213.802,-957.30685,13.29742,-4.7880126
127.1807148,10035.208,-907.07362,14.575553,-4.9547691
131.0888965,9579.5865,-839.27905,15.909368,-5.0928813
135.0059253,8416.7866,-712.2199,17.293454,-5.2114254
139.1956929,5657.1639,-469.51758,18.808945,-5.5180424
140.5960785,3680.4868,-305.08071,19.324447,-5.6198636
141.297117,2548.0069,-207.76959,19.58018,-5.684835
142,117.00359,15.071355,19.83338,-5.7261227
