radius,F_x,F_y,delta_x,theta_z
4.2000,0.002843722,11.78606309,0,0
6.5759,145.7666266,64.45885848,0.001461423,3.84E-05
8.9517,190.0531052,74.03340107,0.005421499,-8.92E-06
11.3276,311.4420061,17.14579629,0.012064414,0.000477765
13.7034,542.0091443,-140.8485617,0.021842943,0.001528368
16.0793,1172.298835,-570.8671398,0.035392843,0.002723274
18.4552,1863.318519,-883.7552379,0.053459529,0.003342113
20.8310,2274.133986,-1022.221553,0.076842854,0.002507313
23.2069,2524.311794,-1098.673752,0.106347261,-0.000687901
25.5828,3053.212187,-1189.379662,0.142744126,-0.007073739
27.9586,3305.084347,-1204.500436,0.186748318,-0.017324797
30.3345,3593.369467,-1218.177459,0.238994909,-0.031910932
32.7103,3948.620573,-1234.509562,0.300040115,-0.051074829
35.0862,4289.634963,-1244.564996,0.370351327,-0.074838757
37.4621,4615.774453,-1250.558031,0.45031656,-0.103033434
39.8379,4910.387257,-1252.154633,0.540253467,-0.13534602
42.2138,5186.062584,-1251.016156,0.640422054,-0.171380083
44.5897,5450.191408,-1248.39804,0.751046741,-0.210725881
46.9655,5706.35531,-1244.704352,0.872326864,-0.253030146
49.3414,5957.672215,-1240.430839,1.004464478,-0.298062062
51.7172,6204.266138,-1235.74495,1.147680417,-0.345772165
54.0931,6447.271265,-1230.819731,1.302231966,-0.39633716
56.4690,6689.067184,-1225.945371,1.46843219,-0.450191024
58.8448,6932.297971,-1221.415199,1.646663671,-0.508031635
61.2207,7178.507232,-1217.379997,1.837390758,-0.570815934
63.5966,7424.702123,-1213.61149,2.041169063,-0.639728423
65.9724,7670.332295,-1210.051299,2.258647829,-0.716132601
68.3483,7916.434871,-1206.799225,2.490573577,-0.80150856
70.7241,8160.92446,-1203.66006,2.737790689,-0.897363353
73.1000,8401.616188,-1200.472658,3.001227846,-1.005150465
75.4759,8636.650602,-1197.070593,3.281895013,-1.126159365
77.8517,8864.138877,-1193.352356,3.580869947,-1.261431473
80.2276,9081.949729,-1189.151099,3.899278983,-1.4116231
82.6034,9288.091969,-1184.210093,4.238281991,-1.576968021
84.9793,9481.943411,-1178.634124,4.599052447,-1.75719434
87.3552,9661.716366,-1172.114018,4.982752794,-1.951443189
89.7310,9828.030422,-1164.855194,5.390513113,-2.158275861
92.1069,9979.93529,-1156.589587,5.823414465,-2.37567977
94.4828,10118.89868,-1147.510443,6.282455509,-2.601106647
96.8586,10246.40827,-1137.746307,6.768537901,-2.831559831
99.2345,10363.34884,-1127.178739,7.282450833,-3.063717353
101.6103,10473.03118,-1116.25591,7.824837056,-3.294087463
103.9862,10576.23182,-1104.771231,8.39619701,-3.519197394
106.3621,10676.34246,-1093.217684,8.99685719,-3.735818143
108.7379,10772.76647,-1081.295801,9.62696173,-3.941182558
111.1138,10866.23839,-1069.027387,10.28647759,-4.133218645
113.4897,10955.164,-1056.48395,10.97515658,-4.310740727
115.8655,11035.0473,-1043.017115,11.69255349,-4.473621199
118.2414,11101.56909,-1028.584405,12.43800011,-4.622839157
120.6172,11139.96416,-1011.83676,13.21060051,-4.760441241
122.9931,11139.5109,-992.0594061,14.00920465,-4.889300043
125.3690,11079.20874,-967.7427462,14.83239519,-5.012660649
127.7448,10914.73733,-935.7480009,15.67845528,-5.133382285
130.1207,10627.75029,-894.4019106,16.54530022,-5.252797978
132.4966,10142.52902,-838.0368973,17.43043944,-5.369126598
134.8724,9396.396652,-761.1393728,18.33086475,-5.475344065
137.2483,8094.166961,-644.4438249,19.24293484,-5.556387213
139.6241,5960.088655,-466.8157129,20.16224377,-5.585606214
142.0000,201.2259493,17.71625764,21.08339829,-5.520304231
